date,end_date,name,country_code,year,status,date_status,source_urls
2027-01-01,,元旦,JP,2027,statutory,confirmed,https://www8.cao.go.jp/chosei/shukujitsu/gaiyou.html https://laws.e-gov.go.jp/law/323AC1000000178
2027-01-11,,成人之日,JP,2027,statutory,confirmed,https://www8.cao.go.jp/chosei/shukujitsu/gaiyou.html https://laws.e-gov.go.jp/law/323AC1000000178
2027-02-11,,建國紀念之日,JP,2027,statutory,confirmed,https://www8.cao.go.jp/chosei/shukujitsu/gaiyou.html https://laws.e-gov.go.jp/law/323AC1000000178 https://laws.e-gov.go.jp/law/341CO0000000376
2027-02-23,,天皇誕生日,JP,2027,statutory,confirmed,https://www8.cao.go.jp/chosei/shukujitsu/gaiyou.html https://laws.e-gov.go.jp/law/323AC1000000178
2027-03-21,,春分之日,JP,2027,statutory,confirmed,https://www8.cao.go.jp/chosei/shukujitsu/gaiyou.html https://laws.e-gov.go.jp/law/323AC1000000178 https://www.nao.ac.jp/faq/a0301.html
2027-03-22,,補假（振替休日）,JP,2027,statutory,confirmed,https://www8.cao.go.jp/chosei/shukujitsu/gaiyou.html https://laws.e-gov.go.jp/law/323AC1000000178
2027-04-29,,昭和之日,JP,2027,statutory,confirmed,https://www8.cao.go.jp/chosei/shukujitsu/gaiyou.html https://laws.e-gov.go.jp/law/323AC1000000178
2027-05-03,,憲法紀念日,JP,2027,statutory,confirmed,https://www8.cao.go.jp/chosei/shukujitsu/gaiyou.html https://laws.e-gov.go.jp/law/323AC1000000178
2027-05-04,,綠之日,JP,2027,statutory,confirmed,https://www8.cao.go.jp/chosei/shukujitsu/gaiyou.html https://laws.e-gov.go.jp/law/323AC1000000178
2027-05-05,,兒童節,JP,2027,statutory,confirmed,https://www8.cao.go.jp/chosei/shukujitsu/gaiyou.html https://laws.e-gov.go.jp/law/323AC1000000178
2027-07-19,,海之日,JP,2027,statutory,confirmed,https://www8.cao.go.jp/chosei/shukujitsu/gaiyou.html https://laws.e-gov.go.jp/law/323AC1000000178
2027-08-11,,山之日,JP,2027,statutory,confirmed,https://www8.cao.go.jp/chosei/shukujitsu/gaiyou.html https://laws.e-gov.go.jp/law/323AC1000000178
2027-09-20,,敬老之日,JP,2027,statutory,confirmed,https://www8.cao.go.jp/chosei/shukujitsu/gaiyou.html https://laws.e-gov.go.jp/law/323AC1000000178
2027-09-23,,秋分之日,JP,2027,statutory,confirmed,https://www8.cao.go.jp/chosei/shukujitsu/gaiyou.html https://laws.e-gov.go.jp/law/323AC1000000178 https://www.nao.ac.jp/faq/a0301.html
2027-10-11,,運動之日,JP,2027,statutory,confirmed,https://www8.cao.go.jp/chosei/shukujitsu/gaiyou.html https://laws.e-gov.go.jp/law/323AC1000000178
2027-11-03,,文化之日,JP,2027,statutory,confirmed,https://www8.cao.go.jp/chosei/shukujitsu/gaiyou.html https://laws.e-gov.go.jp/law/323AC1000000178
2027-11-23,,勤勞感謝之日,JP,2027,statutory,confirmed,https://www8.cao.go.jp/chosei/shukujitsu/gaiyou.html https://laws.e-gov.go.jp/law/323AC1000000178
2027-12-29,2028-01-03,年末年初假期,JP,2027,discretionary,confirmed,https://laws.e-gov.go.jp/law/363AC0000000091
